1,1880,8,18
2,1880,12,399
3,1880,13,365
4,1881,8,434
5,1881,12,463
6,1881,13,367
7,1881,15,230
8,1882,8,77
9,1882,12,30
10,1882,13,366
11,1882,15,488
12,1883,8,18
13,1883,12,447
14,1883,13,363
15,1883,15,441
16,1884,8,361
17,1884,12,30
18,1884,13,369
19,1884,15,495
20,1885,8,80
21,1885,12,83
22,1885,13,118
23,1885,15,214
24,1886,8,480
25,1886,12,60
26,1886,13,81
27,1886,15,476
28,1887,8,18
29,1887,12,171
30,1887,13,301
31,1887,14,498
32,1887,15,29
33,1888,8,13
34,1888,12,258
35,1888,13,362
36,1888,14,478
37,1888,15,418
38,1889,8,18
39,1889,12,447
40,1889,13,364
41,1889,15,133
42,1890,12,190
43,1890,13,438
44,1890,14,381
45,1890,15,224
46,1891,8,464
47,1891,12,444
48,1891,13,436
49,1891,14,435
50,1891,15,448
51,1892,8,231
52,1892,12,174
53,1892,13,302
54,1892,14,82
55,1892,15,340
56,1893,8,22
57,1893,12,141
58,1893,13,78
59,1893,14,435
60,1893,15,20
61,1894,8,5
62,1894,12,141
63,1894,13,118
64,1894,14,69
65,1894,15,72
66,1895,8,192
67,1895,12,447
68,1895,13,433
69,1895,14,229
70,1895,15,119
71,1896,8,18
72,1896,12,63
73,1896,13,303
74,1896,14,462
75,1896,15,123
76,1897,8,159
77,1897,12,11
78,1897,13,79
79,1897,14,462
80,1897,15,119
81,1898,8,221
82,1898,12,141
83,1898,13,49
84,1898,14,27
85,1898,15,7
86,1899,12,168
87,1899,13,267
88,1899,14,27
89,1899,15,69
90,1900,8,322
91,1900,12,168
92,1900,13,267
93,1900,14,27
94,1900,15,7
95,1901,8,241
96,1901,12,229
97,1901,13,437
98,1901,14,481
99,1901,15,189
100,1902,8,241
101,1902,12,408
102,1902,13,154
103,1902,14,334
104,1902,15,373
105,1903,8,493
106,1903,12,358
107,1903,13,460
108,1903,14,410
109,1903,15,8
110,1904,3,368
111,1904,8,466
112,1904,12,141
113,1904,13,413
114,1904,15,260
115,1905,8,186
116,1905,12,141
117,1905,13,460
118,1905,15,21
119,1906,8,482
120,1906,12,148
121,1906,13,198
122,1906,14,410
123,1906,15,233
124,1907,4,460
125,1907,8,466
126,1907,12,90
127,1907,13,263
128,1907,14,298
129,1907,15,499
130,1908,8,422
131,1908,12,422
132,1908,13,197
133,1908,14,13
134,1908,15,422
135,1909,8,451
136,1909,12,8
137,1909,13,414
138,1909,14,489
139,1909,15,264
140,1910,8,66
141,1910,12,147
142,1910,13,183
143,1910,14,244
144,1910,15,129
145,1910,16,469
146,1911,7,465
147,1911,8,186
148,1911,12,406
149,1911,13,187
150,1911,14,75
151,1911,15,479
152,1911,16,382
153,1912,7,186
154,1912,8,396
155,1912,12,486
156,1912,13,460
157,1912,14,176
158,1912,15,359
159,1912,16,408
160,1913,7,457
161,1913,8,104
162,1913,12,291
163,1913,13,41
164,1913,14,245
165,1913,15,14
166,1913,16,99
167,1914,7,130
168,1919,8,75
169,1919,14,494
170,1920,7,348
171,1920,8,226
172,1920,12,210
173,1920,13,422
174,1920,14,494
175,1920,15,149
176,1920,16,28
177,1921,7,213
178,1921,8,75
179,1921,12,490
180,1921,13,451
181,1921,14,115
182,1921,15,483
183,1921,16,370
184,1922,8,135
185,1922,12,210
186,1922,13,451
187,1922,14,113
188,1922,16,427
189,1923,7,391
190,1923,8,432
191,1923,12,126
192,1923,13,473
193,1923,14,113
194,1923,15,466
195,1923,16,375
196,1924,7,68
197,1924,8,58
198,1924,12,173
199,1924,13,263
200,1924,14,466
201,1924,15,483
202,1924,16,100
203,1925,7,330
204,1925,8,181
205,1925,12,184
206,1925,13,196
207,1925,14,374
208,1925,15,196
209,1925,16,388
210,1926,7,272
211,1926,8,338
212,1926,12,215
213,1926,13,112
214,1926,14,336
215,1926,15,182
216,1926,16,112
217,1927,7,170
218,1927,8,387
219,1927,12,50
220,1927,13,379
221,1927,14,117
222,1927,15,470
223,1927,16,469
224,1928,7,213
225,1928,8,132
226,1928,12,170
227,1928,13,196
228,1928,14,70
229,1928,15,432
230,1928,16,289
231,1929,7,128
232,1929,8,134
233,1929,12,333
234,1929,13,496
235,1929,14,73
236,1929,15,162
237,1929,16,472
238,1930,7,213
239,1930,8,387
240,1930,12,349
241,1930,13,91
242,1930,15,349
243,1930,16,491
244,1931,7,454
245,1931,8,349
246,1931,12,122
247,1931,13,172
248,1931,14,10
249,1931,15,282
250,1931,16,116
251,1932,7,175
252,1932,8,297
253,1932,12,100
254,1932,13,196
255,1932,14,383
256,1932,15,349
257,1932,16,386
258,1933,7,348
259,1933,8,228
260,1933,12,50
261,1933,13,1
262,1933,14,343
263,1933,15,255
264,1933,16,112
265,1934,7,251
266,1934,8,125
267,1934,12,188
268,1934,13,96
269,1934,14,343
270,1934,15,180
271,1934,16,484
272,1935,7,136
273,1935,8,439
274,1935,12,335
275,1935,13,398
276,1935,14,144
277,1935,15,349
278,1935,16,393
279,1936,7,348
280,1936,8,467
281,1936,12,346
282,1936,13,50
283,1936,14,111
284,1936,15,346
285,1936,16,346
286,1937,7,64
287,1937,8,456
288,1937,12,473
289,1937,13,164
290,1937,14,185
291,1937,15,50
292,1937,16,62
293,1938,7,64
294,1938,8,346
295,1938,12,50
296,1938,13,349
297,1938,14,349
298,1938,15,59
299,1938,16,194
300,1939,7,64
301,1939,12,349
302,1939,15,179
303,1948,4,349
304,1948,7,19
305,1948,8,53
306,1948,12,151
307,1948,13,124
308,1948,14,111
309,1948,15,107
310,1948,16,484
311,1949,7,497
312,1949,8,487
313,1949,10,429
314,1949,12,228
315,1949,13,227
316,1949,14,4
317,1949,15,158
318,1949,16,475
319,1950,7,19
320,1950,8,412
321,1950,12,349
322,1950,13,459
323,1950,14,111
324,1950,15,26
325,1950,16,315
326,1951,7,9
327,1951,8,179
328,1951,12,9
329,1951,13,196
330,1951,14,178
331,1951,15,452
332,1951,16,12
333,1952,7,384
334,1952,8,349
335,1952,12,294
336,1952,13,304
337,1952,14,425
338,1952,15,412
339,1952,16,426
340,1953,7,331
341,1953,8,275
342,1953,12,455
343,1953,13,305
344,1953,14,446
345,1953,15,284
346,1953,16,430
347,1954,7,191
348,1954,8,228
349,1954,12,294
350,1954,13,459
351,1954,14,287
352,1954,15,88
353,1954,16,453
354,1955,7,166
355,1955,8,287
356,1955,12,331
357,1955,13,349
358,1955,14,120
359,1955,15,284
360,1955,16,325
361,1956,7,138
362,1956,8,109
363,1956,12,17
364,1956,13,305
365,1956,14,349
366,1956,15,24
367,1956,16,484
368,1957,7,166
369,1957,8,107
370,1957,12,284
371,1957,13,259
372,1957,14,270
373,1957,15,105
374,1957,16,376
375,1958,7,222
376,1958,8,250
377,1958,12,17
378,1958,13,305
379,1958,14,52
380,1958,15,349
381,1958,16,55
382,1959,7,166
383,1959,8,337
384,1959,12,492
385,1959,13,305
386,1959,14,458
387,1959,15,349
388,1959,16,278
389,1960,7,17
390,1960,8,239
391,1960,12,17
392,1960,13,305
393,1960,14,392
394,1960,15,256
395,1960,16,484
396,1961,7,109
397,1961,8,108
398,1961,12,109
399,1961,13,324
400,1961,14,114
401,1961,15,287
402,1961,16,312
403,1962,7,67
404,1962,8,131
405,1962,12,67
406,1962,13,324
407,1962,14,120
408,1962,15,163
409,1962,16,95
410,1963,7,342
411,1963,8,378
412,1963,12,342
413,1963,13,33
414,1963,14,38
415,1963,15,239
416,1963,16,332
417,1964,7,6
418,1964,8,329
419,1964,12,6
